Comments,Label
Yar Ducky Bhai ap ka ya standard ni h k itny giry howy logo ki chatrol kro,NCA
Confidence dekho dhinyuk sooja ka,NCA
sasta bhrwa hn tu ksmy??????,CA
https://youtube.com/channel/UC1rH-rECbUSOehX2j7Jo2Ng,NCA
I was serious funny while watching this video,NCA
Ducky i was seriously laughing,NCA
0:48 love this game ( Mirror's Edge Catalyst ),NCA
In pa video banana be time zaya krnay wali baat ha,NCA
Vip aisi lete raho in ki,CA
Nice paat,NCA
??????,CA
Only one thing I don't like in this video is that dhichak pooja song????????????????,NCA
????????,NCA
4:20 naach ke pagal ??????????,NCA
Undertaker part of dhinchik Pooja???? yrr ducky????????,NCA
3:19  very funny ??????????,NCA
Hahahahaha,NCA
Nice,NCA
Nice,NCA
Nice,NCA
????????,NCA
??????,NCA
laughing my ass off????????????,CA
I was really upset,NCA
Ducky's twerk is much better than this twerk,CA
O ho hahahahaha,NCA
??????????,NCA
????,NCA
Very technical,NCA
Cool roasting yar,NCA
Ducky bhai ne is se acha twerk kiya tha??????,CA
I am going to sucide,NCA
Hahahahaahhahahahahagagagahahahahahahahahahaha,NCA
kya din thy ducky Ki old vedios ka apna maza hai,NCA
uffff hasa hasa k ye banda mar daly ga,NCA
hahahaha stupied :-),NCA
#duckybhai,NCA
BRO , NCA
Most ANNOYING SONG OF THE UNIVERSE....,NCA
Bro don't waste your time on these Bandries.,NCA
Hahahahha dubara dekh rha hun ya video 2021,NCA
WAHHH BHAI GOOOD TALK  MOST GOOD ONE IS SHESHEEE KE SAMNE JA KE L;ANAT DE3 APNE AP KO,NCA
Jitna Socha us sy bhi ghatiya gana bal ky ye gana hy ni ye mazak ho raha hy,CA
I can't stop laughing ducky yar love you ??????????,NCA
 dhinchak pooja pakka khoon k ansoo roi hogi ye vedio dekh kr,NCA
Holy Shit ???? She must be crying after watching this video ????????,NCA
Hahaha,NCA
Ducky Bhai is too good ????????,NCA
Nice ????,NCA
??????????????????????????,NCA
Kia hai yar ducky,NCA
 wo pagal to ni thy had ha yar is karki ki shakal to daikho isky gar waly khud ni daikhty hongy isko yar,CA
or maza to tab ata ha jub app silent girlllllllll  key latay ho lagay raho ducky bhai,CA
DUCKY BHAI love you ,NCA
hahahahahhahaahhahahahahahahhaha nice bro,NCA
aby bhai maza agaya,NCA
Last part ,NCA
Song vas very pagal ????,NCA
Bhai undertaker ku is sa kyun mila diya,NCA
Naach k pagal ??????,NCA
Ywrrr twerkkkkkk??????,CA
????????????????????????????????????????????????????,NCA
????????????I am your big fannn??????,NCA
????????,NCA
what,NCA
Rip songs,NCA
Rip undertaker ducky bhai,CA
"3:47 ""nise patt"" ????????",NCA
????????,NCA
Holy shit this is awesome ?????????? literally dying of laughing,CA
Ducky bhai carry on ????,NCA
Tarsi hui bakri dinchak,CA
DUCKY BAHI THIS VIDEO IS AMAZING????????????????????????????,NCA
BHI NICE VIDEO,NCA
O yara toba toba ye song sun ke main paghal hu gaya bbhhhhhhaaaaiiiiiii,NCA
Is Ghana ka lyrics ya hona Chaya hath ma pakro Mera pakar ka Pagal ho jhao,NCA
sudhri ho gai ha,CA
Nice patt,CA
Trigged insan copy,NCA
Silent girl ke behen alex bhatti sa mil gae ge to woh to is ke -------------------kardega,NCA
Love u bhai,NCA
Love BTS Crush  love Muslim Army,NCA
Good,NCA
Hahahahahhaha,NCA
Dtfufifii officially Odysseus fifirjtih,NCA
Dtdtfdd,NCA
Eueyr,NCA
Gffff,NCA
Mera has has k bura hal hogya ?????????? ducky bhai kamal,NCA
bilkul pagal????,NCA
In ko atom ki kya zarorat,NCA
Love you ducky bhai,NCA
2:35 is the best ??,NCA
Uffff i pori video mi hans hans k bura hal hogya h had hi hogi,NCA
Best part 4:18 ????????,NCA
Oi doremon gajet nikal pan-,NCA
Carry minati :swag wali bakchodi ,CA
Please par lo,NCA
Please,NCA
I am your big fan but don't use bad words,NCA
????????,NCA
bruh my ears hurted hearing this??????????????,NCA
Sasti bandri ??????????,CA
Arey wahh nice part,NCA
Nice patt ??,CA
may i have died before listening this. Th,NCA
Yar is game ka name bata do koi,NCA
Ty in the end ??????,NCA
Girl Teri Kagan hai,CA
Kamal  ha ducky bhai Indian   khan sir pe bhe roast bna do plz plzplz????????,NCA
Nach k pagal ????????,CA
Legit my ears start bleeding and du to bleeding I passed away,CA
Kya zarorat ha is pr video bnany ke sar ma dard hogaya iske awaz sun kay,CA
Man..!! Dam funny yar.,NCA
??????,NCA
Doreamon gadget nikal BC was something else,CA
Modi shodi Lauri dead xd,NCA
????????,NCA
You are the best wroster,NCA
DANS CATH PANJAKI BOTAHI AHA,NCA
Yaar yeh kia hai kano sa khon nikal a raha hai,CA
Chutiya, CA
2:32??,NCA
??????????????,NCA
Hi ducky bhai,NCA
Iss se chuttia song me nhi suna,CA
ya dakh kr muja mut marna ka josh agya ha,NCA
4:18 is best,NCA
Mujy fairrr shyaari aa gai aaaa??????????????????????,NCA
Ok,NCA
Twerk????,CA
Lora song,CA
Wtffff,CA
veryyyyyyyyyyy nice bro,NCA
ye song sun kar mera pc lag ho rha ha,NCA
Saad bhai aik baat hai larki hai bht mast,NCA
Is se twerk ducky bhai Ker le ta hai ????????,CA
Wah ducky Bhai,NCA
So nice,NCA
Cha gaya ha yara Duccy,NCA
Language kharab mat kiya karen baki sub thek hy,NCA
Only legends know this game is mirror edge catalyse I have this game and play on PS4 so I know it,NCA
???? ???? ??? ???? ?????? ???? ??? ??? ??? ?? ?? ?????? ???? ?? ?? ?????,NCA
Dinchak pooja only has two hats she's wearing the same in every shit video,CA
Love you ducky bhai????,NCA
5:04??????,NCA
baandri ????,CA
Meray earpod tut gaye gaana sun ke tooba tooba sara mood kharab kar dia ,NCA
Mjy koi ENT ky pas ly kr jao??,NCA
Yes Kya tatti hai??,CA
What the fack kya video h hahaha,CA
ducky bhai dinchak pooja chutiya hai garanti,CA
 carryminati nay dinchak pooja ko acha roast kiya ya phir ducky bhai nay reply kar kay bata do,NCA
Hi ??,NCA
bhai mera kaano se khoon nekal gya,NCA
Mre kaan phat gya??????????,CA
????????,NCA
Mere pas koi alfaz ni hain mujhe ap log chuthi dy dein,NCA
Big fan ducky bhai,NCA
In lockdown your video very useful,NCA
My headset is on ??,NCA
lol,NCA
Good ??,NCA
yea video dakh Kar ma marna wala ho gaya,NCA
4.21????????????,NCA
Mera kan sa phone Nikla ha,NCA
Great,NCA
Yar ducky yh gana suna mobile na turwa dena mra,NCA
You r really agreat roaster it was soo funny,NCA
Ary DuckY bHai.....smjH na 'Naaaa k Pagal' ??????,NCA
Chutiyapa ka song,CA
chutiya,CA
Teri roasting dunya mai sb se achi hai,NCA
Ducky love you hogya yaaar,NCA
Hahaha Niceee Broo??,NCA
????????,NCA
BSDK, CA
????,NCA
??,NCA
BSDK,CA
Tati song hai!! Really,CA
??,NCA
yr is game ka naam kya h,NCA
Best part 3:44 ????,NCA
love from 0l0,NCA
Good,NCA
0:04 oye doremon gadget nikal pancho ????????,NCA
2:54 shayari??,NCA
Ducky Bhai pagal Kar Diya sis dhinchik na,NCA
Someone ask him to roast oli London ??,NCA
Very good,NCA
Wot daaaa fuqqqqqq ????,CA
4:17 OMG ????????,NCA
??????????,NCA
PART 2 BRO PLZ,NCA
bsdk,CA
Best,NCA
WTF is going on with this girl..,CA
I was dying watching this video????????,NCA
Tatti song,CA
not funny,NCA
i hate this youtubers,CA
??,NCA
Randi,CA
Wao......wao.....waoooooooooooo...,NCA
??????????????????????????????,NCA
????,NCA
The same like Farman Kaskar..??,NCA
????????toba Toba Toba sara mood khrab kr dia,NCA
RIP headphone users,NCA
????,NCA
Bahi my headphone exploded,NCA
4:17 best scene ever,NCA
Hahahaha,NCA
Dafuq i got it,CA
4:55 hahahaha towork,CA
I am big fan ducky Bahi love you bro,NCA
Twerk????????????,CA
bro game ka name batana please,NCA
2:53 in the back it says no diving but they are diving ??????????,NCA
Your good,NCA
????????????,NCA
Hahaha very funny,NCA
Duck Bhai I love your videos,NCA
Wow ducky love you ??,NCA
Love form india ???????????????????????????,NCA
doraemon gadget nikal ????????,NCA
4:57 I laugh so much,NCA
Yaar ducky bhi??mafi de doo?????????????..,NCA
KHON NIKALEYga sohag raat mein XD,CA
Isse to achi humari Aima Baig hai,NCA
Gana ki kakh samajh nai ayi,NCA
kill me..,NCA
Silnt grile ka song par be rosted kara bahi,NCA
??????nach kay bhaa go??????,NCA
#shahidanwar is trha type kary ga to wo kuta a ajy ga,NCA
mota hogya re tuu saala,CA
????????????????????????????????????????????,NCA
Khooda ka lye gana band kro,NCA
jao rao charao ka kaya seen ha ducjy bahi,NCA
DUCKY LOVERS????,NCA
Nyc brooo,NCA
Log b kitny jahill haiin .. kese kese logo ko famous kr dety hain,NCA
motaa,CA
Part 2 need badly love you bro par apka face fuck u ?? ??,CA
Ducky bhai sach mein phuddu song hai.,CA
Nice Ducky Bahi lovely,NCA
???????????? big fan from india??????????,NCA
Bc m to zra nhi naacha, CA
?? had hogai kya gana hai Tobahhh astaghfar Allah bachay Tobahhh Tobahhh,NCA
ducky bhai is great,NCA
??????,NCA
kaya li ha fantastic,NCA
Fvt video ??????????,NCA
????????????????????,NCA
pooja ko zameen pa thook phank kr us ma doob jaana chaiya hq,CA
You are a star ?? I really want to meet you ??,NCA
Yrh kia tha?,NCA
Dicky bahi ma AP ke hr video dakte ho,NCA
Dicky bahi ma AP ke hr video dakte ho,NCA
Hahaahah,NCA
CHUTIYAAA,CA
geo ducky bhai,NCA
Who is watching this In 2021 January,NCA
bhai deepak kalal ka roast bna do,NCA
Ok,NCA
????,NCA
Pagal hoky Dekho or dekh k pagal hojao **** this talent,CA
Meri phrhychy lags di yar,NCA
Ye twerk ni hora dhooarkk hora ha??,CA
??,NCA
Modi shodi Lori????????,NCA
Ducky Bhai ap ne apny subscriber ku lost kr diy,NCA
Game name plz plz,NCA
Game name tabayo,NCA
Very nice,NCA
Lol,NCA
Last main phar dala hai ducky bhai,NCA
https://youtu.be/B0-0RRcSTq0,NCA
BKWAS SONG??,CA
??ISNA APNA SONG SUNNA KA BADH KSA FEEL  KIA HO GA ....,NCA
You are making very good videos,NCA
Nice bro my favourite YouTuber Ducky bhai,NCA
nice patt ????,CA
I hate pugli ?? pooja,CA
I hate pugli ?? pooja,CA
Ok,NCA
My ear r dead by now,NCA
Kya pan yaki ha,CA
Naach k pagl ????????????????????,CA
Niceeeee,NCA
Superbbbb,NCA
Osammm yr,NCA
Osammm yr,NCA
I also fell from my bed seriously her voice is too bad v good roast ducky love u duky,CA
I like kit,CA
????????????,NCA
Bro ap ny is ki atma rol de hahahahaha,NCA
3 : 23.  I  can't stop laughing ??????,NCA
I love your vids alot,NCA
Lyrics????,NCA
4:58 ??????,NCA
Best twerk ever seen????????????????????,NCA
????????????????????????????????,NCA
https://youtu.be/PHXyBeXRxSI,NCA
begairtt,CA
chutiya,CA
ducky cha gaya,NCA
????????????????????????????,NCA
my dear is mitch and milk or chocolate  ice cream,NCA
I donate my eyes????????,NCA
OMG ????,NCA
Wow you are amazing x you are right????,NCA
Roasting Haram ha,NCA
hahahhahahahahahahahha..... ??????????????,NCA
????????????,NCA
Ducky Bhai you are fantastic,NCA
Modi shodi lori ????????????,NCA
Koty,CA
Lanat ho Tom par,CA
mc hai sala ye tio,CA
Which is the game,NCA
I got headache to listen this,NCA
Hahahahahahahahah bhai..... Yar kamal has has k pait ma dard start ho gaya ma aaj apki  sari old videos dekh raha new to a he nahi rahi ? Ya show nahi ho rahi?,NCA
Hahaha....,NCA
dinchak pooja na comment band kiya hua ha,NCA
itna sad song main ne kabhi nai suna,NCA
O bhai op????????,NCA
Inko sb subscribe krta hn hum chote youtubers ko kon subscribe kre ga agr ap agree hn click the like button,NCA
Plz roast Danish sheik and his  gf..,NCA
I like you meet you,NCA
Owwy main ny nii rhny ab is planet prr ??,NCA
DICK..NCH Pooja,NCA
Is Doremon your budy ??,NCA
Chader dal kar bond maro in ki,CA
Bhot ala,NCA
Hulk one punch on her face,NCA
Dhinchack gathya awaz.,CA
wasay agar may wo gana son ra ho ta to mai asly music vid i will disliike but its ducky how can i dislike,NCA
dingy pooja,NCA
sorry me galti say agya tha ??naach ky pagal ??,NCA
Bht gusaa a rha hay us bandri pay...,CA
Donate brain cells please,NCA
Bhai Hulk wala scene bohot funny hai,NCA
Hello duky what is the name of this game pleasee tell,NCA
Looool,NCA
Looo,NCA
https://youtu.be/IKG6Rrkhzyk,NCA
????????,NCA
https://www.youtube.com/channel/UCyV2eoyGs5tc3a1P_uawlhw,NCA
Great yar hasi ni ruk ri,NCA
Yeh konsi game ha jo ducky bhai khel rahe hain?,NCA
Which Game is it Please tell me,NCA
Moral :,NCA
Is no one gonna talk bout how easily he copies triggered insaan's videos?!,NCA
Nice ducky bro,NCA
Ha ha ha,NCA
Haahahahahaaha,NCA
Sach sach bataana kan mein sy khon nikal gya na???,NCA
https://youtu.be/_lYtN_3grSs,NCA
Good ho gya gg,NCA
????????????????????????????,NCA
Yaar meray kaanon mein se Lal lal sa kuch nikal rha hai,NCA
???? ?????? ???? ????,NCA
for some money look at the 2 girls in song nach ka pagal and look at there dirty steps :(,NCA
This Video Deserve 10Million Likes????????????,NCA
DUCKY BHAI BUHUT GANDA GANA THA,NCA
SHE's Back AGAINNNN,NCA
Roz Roz ka kaam b aagya bancho,NCA
??????????????????????,NCA
Roast her new song,NCA
I wanna die,NCA
Yaar tumare pas bleach ho ga? Mujei apnea aankho ke lie chahyei,NCA
?????? Pta ni kha se aja te hain ...,NCA
http://ivononic.com/ud5,NCA
Dude your Soo funny,NCA
You are legend ??????????????????????,NCA
O bahi maro mujhay maroo,NCA
Anyone from Oct 2020,NCA
I want to donate my ears,NCA
Jab Many Gana Ka Phala lyrics Suna To mata Mobile Tut Gya ????,NCA
??????,NCA
Ni mtlb kuch bhi ,NCA
in chutiyoun ki bchiyoun ki aur leni chah ye thi,CA
At 5:14 best scene of video! DaFuq?,NCA
Bakwas puga Bhaar no hay puga sale kay ki,NCA
Ducky Bhai dixit pooja aye nhi comment krnay ussay pta ha idhr or kutay wali honi ha ????,CA
Uff Allah had h itni insult inki,NCA
Modi ke baare me kaise bola rha me,NCA
Best part is twerk??dafuq?!!,CA
is sy acha tu main ghanna gha lata hn,NCA
Bc.??   paghl ho k  nacho nach k paghl hojao..ni mtlb kia ..1 dm jzbat bdal diya zindgi bdal di bc??,CA
Bro ever thing was good but you should disrespect prime minister of india Narendra modi ??????????,NCA
Swag wala topa mera .....??????,NCA
Ya sasti koti ha,NCA
WTF ??????,CA
????????,NCA
The only part I don't like about modi ,NCA
8.2 m views hain us gaaney men. Madam faidey utha rahi hai apni bongion ki waja se. 44 m to selfie waley ganey k views hain.,NCA
Tahir shah ki at least awaz to hai,NCA
Love this vedio??????,NCA
Bhai bohat bakwas gana gaya ha isne,NCA
What the hell is this song,NCA
Dafuq? Ye sab editing muneeb ke memes ne ke hain,CA
Good bhai,NCA
????????????,NCA
You are the best ??????,NCA
WTH naCh k paGal hojao hhhhhh,NCA
Hadh h bibi????????????,NCA
isko jitni maro utni km a,NCA
Kya roast kia hai like Karo agree  ho,NCA
lanat asay song per,CA
Yar tm muje bhut bhut bhut pasand ho bhut achi baty krty ho,NCA
Love the Hulk scene..love it.,NCA
hahahaha............loot poot on my couch.....zbrdst ducky bhai love you,NCA
Sasti pakri???????? Punjab ??,NCA
Jahan b milay ya dhinchak ghatiya ,CA
Alaa ducky bhai,NCA
Baqwas ganna,NCA
who is here again,NCA
Video mast hei ?? but plz no modi jokes ... Pappu ke Maro jitta marnahei ??????????,NCA
Hey loo,NCA
????????????,NCA
Really tatti song,CA
Kamal Kar dia Bhai Na......????,NCA
Backgroung me jo game ha uska name koi batao plzz,NCA
Kamal h bro u are always great suchi me ye video kamal ki h,NCA
Ap ke hasna ki awaz bohat pyari ha ducky bhai,NCA
hhhhhhhhhhhhhhhhhhhhhhhhhh,NCA
https://youtu.be/KQ1j4R9jfEc,NCA
I want to die,CA
????,NCA
Ducky,NCA
Big fan of u,NCA
aj Mery ak dost NY ap ki AK video dekhai to Pata chal k ap to ak great person ho,NCA
Aj subha sy Sar may pain Tha apki video dekh k mazak aa Gaya very funny,NCA
Love u bhi cha gy ap,NCA
4:03 TATTI????????,CA
Yar Kahan se chalang marun mein,NCA
lanti,CA
hi,NCA
A ki panieki chaldi payi ha,NCA
??????,NCA
Hhhhhhhhhhhhh nice biro,NCA
Senseless dhinchak I would actually slap her to Injury if I met her a 6th grader can do way better??????,NCA
Yar kamal hy tour ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,NCA
Matlab kch hi,NCA
Best roasting better than carryminati roasting at this video,NCA
?????? September 2020 mai,NCA
Wawawawawawawa ache kah bhi ?????????????????? ????????????????????,NCA
sahi kha  ya apni har kisi ko data hain apni bhen dai podai hai aghar comment on hota is ko isi gali dani thi wo song kana hi chor dati,CA
And kardiya ???? sahi leli,NCA
Yt walo ny approval kassy diya is ky is song ko ??????????,NCA
Game konsi kjel rhe ho bhai name btao,NCA
BROOOOOOOOOO SO GOOOOOOOOOOOOOOOOOOOOD,NCA
i luv the 3 idiots part hahahahahahhaha,NCA
Such a stupid song the people who install ludo kids they unistall there mobiles and they wash there phones with soap??????,NCA
Hahaha,NCA
Ducky Bhai hap kon se game klalty ho,NCA
Ye song sunn k MN tra channel bi unsubscribe me Raha hon,NCA
Ya ha Peap Si Losiii Orf Kosiii,NCA
Boht ala ducky ya koti youtube pai kyo hai is ki bond maro,CA
Bhai har tik tokr Bura na hi hota please reply back I love you ?? Bhai,NCA
Love you bai love from sahiwal,NCA
Es puja ke ma ki ankh khotay ki bachi kan to band ho gay ducky bhai main ap ka big big fan hun,CA
Wah,NCA
Ghateya gana tatti hand maralo,CA
Yrr Kamal thi video or han yrr game ka Name kia ha btana zaroor,NCA
Plz roast Nadeem nani wala,NCA
I didn't expect this to be so funny here I was pretending to sleep but too bad I couldn't hole my laugh so had to put my hand on my mouth to stop it lol,NCA
Sasti bandri??????????,NCA
your channel is very very funny i love your roasting,NCA
Hats off ???? lgy rho payn,NCA
Watching video while reading comments make more entertainment,NCA
Ya ha kya ??????????,NCA
Hey tab wo pool main thay pichay kuck ghor kia no diving uska matlab khali dingak puja ke liye,NCA
Sach mai,NCA
Truth,NCA
Ducky Bhai,NCA
kasif khan ko roast karoo yar lazmiii plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,NCA
Bro yo i can't even Breath ??,NCA
jeeny ki tamanna khatam,NCA
????,NCA
??????,NCA
LoLLLLLLL gana ha,NCA
Dicknak puja,NCA
Ooo bhai yr video bhut zaberdast ha but last pa to akhir hi ho gye????????????????,NCA
mever gets old,NCA
Modi shodi lorhi.??????????,CA
Shooter kahlon ke biografy dekhni hai       https://www.youtube.com/watch?v=bJRWj5pSdA0&t=30s,NCA
Plz roast carona song of dhichnak pooja,NCA
super duper,NCA
Whats the game he's playing?,NCA
game name broh,NCA
RIP my ears-,NCA
End par kis raper ka song hey g,NCA
????,NCA
Bht hard ????,NCA
Ye game konsi hai jo ducky khail raha,NCA
Yaar Bhai aap ko rooster bananay ki zaroorat hi ni us ka song this hi uska aapna rooster hai,NCA
Kano mein cancer ho gaya sun ke aur dekh Naach ke pagal,NCA
Nach ke pagal he tera dimagh dinchak nali soja,NCA
Wah wah,NCA
bilkul tatti gana hai,CA
Please ?????????????? bahi ik video bana do,NCA
LOL?,NCA
Great job Ducky boss,NCA
DUKY BHAI KAYA VIDEO BANAI HAIN YAR IM YOUR BIG FANN,NCA
??????????????dekhne K Bad E Himat,NCA
Swag wali panyaki ????,NCA
Hahahahah,NCA
Binod op,NCA
WTF man. Shit shit.. fucking rap. ;),CA
#duckybahi ya jo background me game ha konsi ha,NCA
LOVE FROM INDIA,NCA
Bhai I am an Indian and I really agree to u 100 percent...... pooja jase logo ki waje sai hamara mulk trackki nahi kar pata ...,NCA
Hahahahahahahahaha nice ducky bahi ,NCA
Bahi is ka song sun kar Mera mobile carash ho gya aur hand free kharab ho gayi,NCA
Gasti is back,NCA
Yahi wo log hain Jo bus ke horn ki tarha noise pollution phelate hain. Aur ye pollution direct Brain per aser karti hai. ????????????,NCA
aj tk sb se chotia gaana suna hai na,NCA
Main ho ap ka fav YouTube  uncle majboor haha????????,NCA
bawaseer hai gana,CA
Am from India.. I njoyed ur video ??,NCA
itna ganda gaana he ki koi agar galti se bhi chala de to poora mohala  behosh hogaey,NCA
Omg best best ????????,NCA
Hahaha,NCA
