Comments,Label
or maza to tab ata ha jub app silent girlllllllll key latay ho lagay raho ducky bhai,CA
ducky bhai love you,NCA
hahahahahhahaahhahahahahahahhaha nice bro,NCA
aby bhai maza agaya,NCA
last part,NCA
song vas very pagal,NCA
bhai undertaker ku is sa kyun mila diya,NCA
naach k pagal,NCA
ywrrr twerkkkkkk,CA
i am your big fannn,NCA
what,NCA
rip songs,NCA
rip undertaker ducky bhai,CA
347 nise patt,NCA
holy shit this is awesome literally dying of laughing,CA
ducky bhai carry on,NCA
tarsi hui bakri dinchak,CA
ducky bahi this video is amazing,NCA
bhi nice video,NCA
o yara toba toba ye song sun ke main paghal hu gaya bbhhhhhhaaaaiiiiiii,NCA
is ghana ka lyrics ya hona chaya hath ma pakro mera pakar ka pagal ho jhao,NCA
sudhri ho gai ha,CA
nice patt,CA
trigged insan copy,NCA
silent girl ke behen alex bhatti sa mil gae ge to woh to is ke kardega,NCA
love u bhai,NCA
love bts crush love muslim army,NCA
good,NCA
hahahahahhaha,NCA
dtfufifii officially odysseus fifirjtih,NCA
dtdtfdd,NCA
eueyr,NCA
gffff,NCA
mera has has k bura hal hogya ducky bhai kamal,NCA
bilkul pagal,NCA
in ko atom ki kya zarorat,NCA
love you ducky bhai,NCA
235 is the best,NCA
uffff i pori video mi hans hans k bura hal hogya h had hi hogi,NCA
best part 418,NCA
oi doremon gajet nikal pan,NCA
carry minati swag wali bakchodi,CA
please par lo,NCA
please,NCA
i am your big fan but dont use bad words,NCA
bruh my ears hurted hearing this,NCA
sasti bandri,CA
arey wahh nice part,NCA
nice patt,CA
may i have died before listening this th,NCA
yar is game ka name bata do koi,NCA
ty in the end,NCA
girl teri kagan hai,CA
kamal ha ducky bhai indian khan sir pe bhe roast bna do plz plzplz,NCA
nach k pagal,CA
legit my ears start bleeding and du to bleeding i passed away,CA
kya zarorat ha is pr video bnany ke sar ma dard hogaya iske awaz sun kay,CA
man dam funny yar,NCA
doreamon gadget nikal bc was something else,CA
modi shodi lauri dead xd,NCA
you are the best wroster,NCA
dans cath panjaki botahi aha,NCA
yaar yeh kia hai kano sa khon nikal a raha hai,CA
chutiya,CA
hi ducky bhai,NCA
iss se chuttia song me nhi suna,CA
ya dakh kr muja mut marna ka josh agya ha,NCA
418 is best,NCA
mujy fairrr shyaari aa gai aaaa,NCA
twerk,CA
lora song,CA
wtffff,CA
veryyyyyyyyyyy nice bro,NCA
ye song sun kar mera pc lag ho rha ha,NCA
saad bhai aik baat hai larki hai bht mast,NCA
is se twerk ducky bhai ker le ta hai,CA
wah ducky bhai,NCA
so nice,NCA
cha gaya ha yara duccy,NCA
language kharab mat kiya karen baki sub thek hy,NCA
only legends know this game is mirror edge catalyse i have this game and play on ps4 so i know it,NCA
dinchak pooja only has two hats shes wearing the same in every shit video,CA
love you ducky bhai,NCA
baandri,CA
meray earpod tut gaye gaana sun ke tooba tooba sara mood kharab kar dia,NCA
mjy koi ent ky pas ly kr jao,NCA
yes kya tatti hai,CA
what the fack kya video h hahaha,CA
ducky bhai dinchak pooja chutiya hai garanti,CA
carryminati nay dinchak pooja ko acha roast kiya ya phir ducky bhai nay reply kar kay bata do,NCA
bhai mera kaano se khoon nekal gya,NCA
mre kaan phat gya,CA
mere pas koi alfaz ni hain mujhe ap log chuthi dy dein,NCA
big fan ducky bhai,NCA
in lockdown your video very useful,NCA
my headset is on,NCA
good,NCA
yea video dakh kar ma marna wala ho gaya,NCA
mera kan sa phone nikla ha,NCA
great,NCA
yar ducky yh gana suna mobile na turwa dena mra,NCA
you r really agreat roaster it was soo funny,NCA
ary ducky bhaismjh na naaaa k pagal,NCA
chutiya,CA
teri roasting dunya mai sb se achi hai,NCA
ducky love you hogya yaaar,NCA
hahaha niceee broo,NCA
bsdk,CA
tati song hai really,CA
yr is game ka naam kya h,NCA
best part 344,NCA
love from 0l0,NCA
004 oye doremon gadget nikal pancho,NCA
254 shayari,NCA
ducky bhai pagal kar diya sis dhinchik na,NCA
someone ask him to roast oli london,NCA
very good,NCA
wot daaaa fuqqqqqq,CA
417 omg,NCA
part 2 bro plz,NCA
bsdk,CA
best,NCA
wtf is going on with this girl,CA
i was dying watching this video,NCA
tatti song,CA
not funny,NCA
i hate this youtubers,CA
randi,CA
waowaowaoooooooooooo,NCA
the same like farman kaskar,NCA
toba toba toba sara mood khrab kr dia,NCA
rip headphone users,NCA
bahi my headphone exploded,NCA
417 best scene ever,NCA
hahahaha,NCA
dafuq i got it,CA
455 hahahaha towork,CA
i am big fan ducky bahi love you bro,NCA
twerk,CA
bro game ka name batana please,NCA
253 in the back it says no diving but they are diving,NCA
your good,NCA
hahaha very funny,NCA
duck bhai i love your videos,NCA
wow ducky love you,NCA
love form india,NCA
doraemon gadget nikal,NCA
457 i laugh so much,NCA
yaar ducky bhimafi de doo,NCA
khon nikaleyga sohag raat mein xd,CA
isse to achi humari aima baig hai,NCA
gana ki kakh samajh nai ayi,NCA
kill me,NCA
silnt grile ka song par be rosted kara bahi,NCA
nach kay bhaa go,NCA
shahidanwar is trha type kary ga to wo kuta a ajy ga,NCA
mota hogya re tuu saala,CA
khooda ka lye gana band kro,NCA
jao rao charao ka kaya seen ha ducjy bahi,NCA
ducky lovers,NCA
nyc brooo,NCA
log b kitny jahill haiin kese kese logo ko famous kr dety hain,NCA
motaa,CA
part 2 need badly love you bro par apka face fuck u,CA
ducky bhai sach mein phuddu song hai,CA
nice ducky bahi lovely,NCA
big fan from india,NCA
bc m to zra nhi naacha,CA
had hogai kya gana hai tobahhh astaghfar allah bachay tobahhh tobahhh,NCA
ducky bhai is great,NCA
kaya li ha fantastic,NCA
fvt video,NCA
pooja ko zameen pa thook phank kr us ma doob jaana chaiya hq,CA
you are a star i really want to meet you,NCA
yrh kia tha,NCA
dicky bahi ma ap ke hr video dakte ho,NCA
hahaahah,NCA
chutiyaaa,CA
geo ducky bhai,NCA
who is watching this in 2021 january,NCA
bhai deepak kalal ka roast bna do,NCA
pagal hoky dekho or dekh k pagal hojao this talent,CA
meri phrhychy lags di yar,NCA
ye twerk ni hora dhooarkk hora ha,CA
modi shodi lori,NCA
ducky bhai ap ne apny subscriber ku lost kr diy,NCA
game name plz plz,NCA
game name tabayo,NCA
very nice,NCA
last main phar dala hai ducky bhai,NCA
bkwas song,CA
isna apna song sunna ka badh ksa feel kia ho ga,NCA
you are making very good videos,NCA
nice bro my favourite youtuber ducky bhai,NCA
nice patt,CA
i hate pugli pooja,CA
my ear r dead by now,NCA
kya pan yaki ha,CA
naach k pagl,CA
niceeeee,NCA
superbbbb,NCA
osammm yr,NCA
i also fell from my bed seriously her voice is too bad v good roast ducky love u duky,CA
i like kit,CA
bro ap ny is ki atma rol de hahahahaha,NCA
3 23 i cant stop laughing,NCA
i love your vids alot,NCA
lyrics,NCA
best twerk ever seen,NCA
begairtt,CA
ducky cha gaya,NCA
my dear is mitch and milk or chocolate ice cream,NCA
i donate my eyes,NCA
wow you are amazing x you are right,NCA
roasting haram ha,NCA
hahahhahahahahahahahha,NCA
ducky bhai you are fantastic,NCA
modi shodi lori,NCA
koty,CA
lanat ho tom par,CA
mc hai sala ye tio,CA
which is the game,NCA
i got headache to listen this,NCA
hahahahahahahahah bhai yar kamal has has k pait ma dard start ho gaya ma aaj apki sari old videos dekh raha new to a he nahi rahi ya show nahi ho rahi,NCA
hahaha,NCA
dinchak pooja na comment band kiya hua ha,NCA
itna sad song main ne kabhi nai suna,NCA
o bhai op,NCA
inko sb subscribe krta hn hum chote youtubers ko kon subscribe kre ga agr ap agree hn click the like button,NCA
plz roast danish sheik and his gf,NCA
i like you meet you,NCA
owwy main ny nii rhny ab is planet prr,NCA
dicknch pooja,NCA
is doremon your budy,NCA
chader dal kar bond maro in ki,CA
bhot ala,NCA
hulk one punch on her face,NCA
dhinchack gathya awaz,CA
wasay agar may wo gana son ra ho ta to mai asly music vid i will disliike but its ducky how can i dislike,NCA
dingy pooja,NCA
sorry me galti say agya tha naach ky pagal,NCA
bht gusaa a rha hay us bandri pay,CA
donate brain cells please,NCA
bhai hulk wala scene bohot funny hai,NCA
hello duky what is the name of this game pleasee tell,NCA
looool,NCA
looo,NCA
great yar hasi ni ruk ri,NCA
yeh konsi game ha jo ducky bhai khel rahe hain,NCA
which game is it please tell me,NCA
moral,NCA
is no one gonna talk bout how easily he copies triggered insaans videos,NCA
nice ducky bro,NCA
ha ha ha,NCA
haahahahahaaha,NCA
sach sach bataana kan mein sy khon nikal gya na,NCA
good ho gya gg,NCA
yaar meray kaanon mein se lal lal sa kuch nikal rha hai,NCA
for some money look at the 2 girls in song nach ka pagal and look at there dirty steps,NCA
this video deserve 10million likes,NCA
ducky bhai buhut ganda gana tha,NCA
shes back againnnn,NCA
roz roz ka kaam b aagya bancho,NCA
roast her new song,NCA
i wanna die,NCA
yaar tumare pas bleach ho ga mujei apnea aankho ke lie chahyei,NCA
pta ni kha se aja te hain,NCA
dude your soo funny,NCA
you are legend,NCA
o bahi maro mujhay maroo,NCA
anyone from oct 2020,NCA
i want to donate my ears,NCA
jab many gana ka phala lyrics suna to mata mobile tut gya,NCA
ni mtlb kuch bhi,NCA
in chutiyoun ki bchiyoun ki aur leni chah ye thi,CA
at 514 best scene of video dafuq,NCA
bakwas puga bhaar no hay puga sale kay ki,NCA
ducky bhai dixit pooja aye nhi comment krnay ussay pta ha idhr or kutay wali honi ha,CA
uff allah had h itni insult inki,NCA
modi ke baare me kaise bola rha me,NCA
best part is twerkdafuq,CA
is sy acha tu main ghanna gha lata hn,NCA
bc paghl ho k nacho nach k paghl hojaoni mtlb kia 1 dm jzbat bdal diya zindgi bdal di bc,CA
bro ever thing was good but you should disrespect prime minister of india narendra modi,NCA
swag wala topa mera,NCA
ya sasti koti ha,NCA
the only part i dont like about modi,NCA
82 m views hain us gaaney men madam faidey utha rahi hai apni bongion ki waja se 44 m to selfie waley ganey k views hain,NCA
tahir shah ki at least awaz to hai,NCA
love this vedio,NCA
bhai bohat bakwas gana gaya ha isne,NCA
what the hell is this song,NCA
dafuq ye sab editing muneeb ke memes ne ke hain,CA
good bhai,NCA
you are the best,NCA
wth nach k pagal hojao hhhhhh,NCA
hadh h bibi,NCA
isko jitni maro utni km a,NCA
kya roast kia hai like karo agree ho,NCA
lanat asay song per,CA
yar tm muje bhut bhut bhut pasand ho bhut achi baty krty ho,NCA
love the hulk scenelove it,NCA
hahahahaloot poot on my couchzbrdst ducky bhai love you,NCA
sasti pakri punjab,NCA
jahan b milay ya dhinchak ghatiya,CA
alaa ducky bhai,NCA
baqwas ganna,NCA
who is here again,NCA
video mast hei but plz no modi jokes pappu ke maro jitta marnahei,NCA
hey loo,NCA
really tatti song,CA
kamal kar dia bhai na,NCA
backgroung me jo game ha uska name koi batao plzz,NCA
kamal h bro u are always great suchi me ye video kamal ki h,NCA
ap ke hasna ki awaz bohat pyari ha ducky bhai,NCA
hhhhhhhhhhhhhhhhhhhhhhhhhh,NCA
i want to die,CA
ducky,NCA
big fan of u,NCA
aj mery ak dost ny ap ki ak video dekhai to pata chal k ap to ak great person ho,NCA
aj subha sy sar may pain tha apki video dekh k mazak aa gaya very funny,NCA
love u bhi cha gy ap,NCA
403 tatti,CA
yar kahan se chalang marun mein,NCA
lanti,CA
a ki panieki chaldi payi ha,NCA
hhhhhhhhhhhhh nice biro,NCA
senseless dhinchak i would actually slap her to injury if i met her a 6th grader can do way better,NCA
yar kamal hy tour,NCA
matlab kch hi,NCA
best roasting better than carryminati roasting at this video,NCA
september 2020 mai,NCA
wawawawawawawa ache kah bhi,NCA
sahi kha ya apni har kisi ko data hain apni bhen dai podai hai aghar comment on hota is ko isi gali dani thi wo song kana hi chor dati,CA
and kardiya sahi leli,NCA
yt walo ny approval kassy diya is ky is song ko,NCA
game konsi kjel rhe ho bhai name btao,NCA
broooooooooo so gooooooooooooooooooood,NCA
i luv the 3 idiots part hahahahahahhaha,NCA
such a stupid song the people who install ludo kids they unistall there mobiles and they wash there phones with soap,NCA
ducky bhai hap kon se game klalty ho,NCA
ye song sunn k mn tra channel bi unsubscribe me raha hon,NCA
ya ha peap si losiii orf kosiii,NCA
boht ala ducky ya koti youtube pai kyo hai is ki bond maro,CA
bhai har tik tokr bura na hi hota please reply back i love you bhai,NCA
love you bai love from sahiwal,NCA
es puja ke ma ki ankh khotay ki bachi kan to band ho gay ducky bhai main ap ka big big fan hun,CA
ghateya gana tatti hand maralo,CA
yrr kamal thi video or han yrr game ka name kia ha btana zaroor,NCA
plz roast nadeem nani wala,NCA
i didnt expect this to be so funny here i was pretending to sleep but too bad i couldnt hole my laugh so had to put my hand on my mouth to stop it lol,NCA
sasti bandri,NCA
your channel is very very funny i love your roasting,NCA
hats off lgy rho payn,NCA
watching video while reading comments make more entertainment,NCA
ya ha kya,NCA
hey tab wo pool main thay pichay kuck ghor kia no diving uska matlab khali dingak puja ke liye,NCA
sach mai,NCA
truth,NCA
ducky bhai,NCA
kasif khan ko roast karoo yar lazmiii plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,NCA
bro yo i cant even breath,NCA
jeeny ki tamanna khatam,NCA
lolllllll gana ha,NCA
dicknak puja,NCA
ooo bhai yr video bhut zaberdast ha but last pa to akhir hi ho gye,NCA
mever gets old,NCA
modi shodi lorhi,CA
shooter kahlon ke biografy dekhni hai,NCA
plz roast carona song of dhichnak pooja,NCA
super duper,NCA
whats the game hes playing,NCA
game name broh,NCA
rip my ears,NCA
end par kis raper ka song hey g,NCA
bht hard,NCA
ye game konsi hai jo ducky khail raha,NCA
yaar bhai aap ko rooster bananay ki zaroorat hi ni us ka song this hi uska aapna rooster hai,NCA
kano mein cancer ho gaya sun ke aur dekh naach ke pagal,NCA
nach ke pagal he tera dimagh dinchak nali soja,NCA
wah wah,NCA
bilkul tatti gana hai,CA
please bahi ik video bana do,NCA
great job ducky boss,NCA
duky bhai kaya video banai hain yar im your big fann,NCA
dekhne k bad e himat,NCA
swag wali panyaki,NCA
hahahahah,NCA
binod op,NCA
wtf man shit shit fucking rap,CA
duckybahi ya jo background me game ha konsi ha,NCA
love from india,NCA
bhai i am an indian and i really agree to u 100 percent pooja jase logo ki waje sai hamara mulk trackki nahi kar pata,NCA
hahahahahahahahaha nice ducky bahi,NCA
bahi is ka song sun kar mera mobile carash ho gya aur hand free kharab ho gayi,NCA
gasti is back,NCA
yahi wo log hain jo bus ke horn ki tarha noise pollution phelate hain aur ye pollution direct brain per aser karti hai,NCA
aj tk sb se chotia gaana suna hai na,NCA
main ho ap ka fav youtube uncle majboor haha,NCA
bawaseer hai gana,CA
am from india i njoyed ur video,NCA
itna ganda gaana he ki koi agar galti se bhi chala de to poora mohala behosh hogaey,NCA
omg best best,NCA
wtf hahahahaahhaahahahhahaahahahah,CA
duckys way is amazing,NCA
what the hell is this song love you ducky bhai,NCA
how unethical,NCA
bro ye video me kon si game play kr rhay hain,NCA
yar ducky is the best,NCA
very funny,NCA
ducky u r awesome,NCA
bhi meri videose bhe dekho yar bohot achi roasting ki hay dekho bohot maza aye ga,NCA
love from india,NCA
o bhai,NCA
tahir shah ko roast karo,NCA
419 best scene,NCA
shahveer jafry roast plzzz,NCA
wah yr superb,NCA
ducky bhai 1 video ispy b hojae plz bhai shahrukh86786,NCA
hahhahaha twerk krta harami,CA
her name isnt dinchack pouga her name is bich nak suga,NCA
dekho pagel ko ducky bhai,NCA
hi ducky bai,NCA
freekashmirfromindia,NCA
good ducky bhai,NCA
very good ducky bahi achi gand maro is ky,NCA
hahahahahahahaha big fan,NCA
veryfunny,NCA
ji haaan kya bole re public,NCA
itna bara gadde wala bed isko khatia dikh raha hai,NCA
is se to t series ke remake lakh lakh darge behter hain,NCA
he is very loal song i love you ducky bhai,NCA
hahahahahah,NCA
hahahahahahahahh,NCA
subscribe my channel this help me a lot the link is here,NCA
love and subscribe before u get pagal,NCA
bhai love from india,NCA
nice video,NCA
i passed out laughing ur such a great roaster,NCA
520 looooooool,NCA
ducky qasam se ye donno song sun k mery airpods kharrab hoo gaye hn is k psy tny dny hn ya is dhinchk pooga ny,NCA
im speechless,NCA
thank you ducky bhai for pubg unban,NCA
indian chotia,NCA
game konsi hai,NCA
dichnak,NCA
ducky bhai is video ko dekny ky bad sar dard ho raha hy,NCA
yaar bc isko bann karo pehly,CA
ducky mje tmse pyr o gya a,NCA
good triget this one,NCA
is video mn jo game chal rhe ha is ka name,NCA
ducky what game is that i like this type of games,NCA
carryminati ki naqal karne wale,NCA
very funny,NCA
ducky love you butt plz aissa ganna sune say acha main kano main tezab dal lon yaar,NCA
scientist ko aisa gadget nakal na jaheya jis se dinchack poja ka mounh band ho jai,NCA
modi shodi lori,CA
006 lol,NCA
o bahi maro muja maro kasam sa,NCA
i want to donate my ears,NCA
hahahalove you,NCA
ducky bhai please explain from the part 244 min i dont get it,NCA
khatarnaak keeera must watch,NCA
oye ducky bhai love bro,NCA
dhinchak ko apni dui ku hilani hoti hai,CA
i becom mad,NCA
kia harami hai yar,CA
bht fazool,CA
rost mrjerryofficial tiktokerak wari uno dakho too,NCA
whats lovely i like you man,NCA
hahhhaa,NCA
wtf dickheads come here to comment about kashmir,CA
tataai h ducky bhai,CA
you insult very bad not funny at all even sick sorry favourite toh buhat door ki baat not even liking this,NCA
yes your sure and my ears are is paining bai,NCA
mjy pichy waliyon py hnsi aa ri,NCA
056 undertakers identity revealed chutiya dhinchak pooja hay,NCA
hahahahahahahaha kun hai ye log kaha se ate hain ye log,NCA
love u ducky and u r brother,NCA
ducky rock,NCA
i died laughing,NCA
love u,NCA
rost meontioy roy plz i am your fan,NCA
yeh to ha hi bandri,CA
amaaziiinggggg bro,NCA
417 is best,NCA
video mein,NCA
ducky bhai ye aap konsi game khel rahan hai,NCA
yar ducky bhi bhtareennnnnnn,NCA
meanz roast,NCA
changi kuty aali hoo gye,NCA
allah ka khof kro galliyan mat diya kro views kay pichay apna aiman mat khrab kro,NCA
game ka name please bata do please dukey bhi,NCA
ducky bai tiktok pe ek chagari hai plz us pe koi video bnay naila jutt,NCA
sasta carryminati,NCA
dafa karo dhinchak pooja ko game konsi chal rai hai background pe chase wali,CA
the moment u ears get rape,NCA
may tw sch may pagal,NCA
ufffffff,NCA
big fan of ducky bhai first ever comment on this channel plz like,NCA
hahahaha,NCA
yar ducky bhai bs yar or kitna hasao gay yar,NCA
rip my ears,NCA
ducky is tu bohat harami hai kasam se,CA
135 hahahahahaha link ka andar description box,NCA
dicky mind your languge if she is pagal you are double pagal with your dirty language shame on you,CA
yar khara hona band ho gaya ha,CA
which app you were talking about was kids ludo app and any one of you have this app please wash it with soap not soap but scrub jaise duckybhai ne kaha,NCA
nice ducky,NCA
yaaaar ducky bhai kamaal ho yaar,NCA
really hans hans ke pagal ho gaya,NCA
yoo ducky bhai,NCA
allaw roast,NCA
end hugaya means more to hansi nahi ruk rahi means kia naksha khencha is dhinchak poja ka,NCA
what the twerk,NCA
ye twerk ho raha oh pencd,CA
ya kon se game ha,NCA
bhai ap kon si game khel rahe ho,NCA
chopa lgwao ga isy agr mil gai ty,NCA
arye o ducky kia kar rahe hon kuch entertainment tuo duo yaar,NCA
oh bro,NCA
yai is khusri ki bakwas sunnai ki baad behosh honi wala tha main,CA
wakai yarrrrrr bht gndi awaaaaaaaaaaz h kisna isko gana dya,CA
fucking pooja,NCA
kamal ho gya,NCA
yaar iske bakwas ganon per itne like karte hain na logo ne patni kya soch kaise like karte hain,NCA
always love you bro,NCA
very nice bro my god give you more success,NCA
arreeee bhai love you jani,NCA
546 cant stop my laughter omggg,NCA
modi shodi lorii,CA
sasti bandri,CA
nice you,NCA
is maa ki lori k koi mammay bhi dekhna pasand nahi karayga,CA
hi just watched your videos good work what do you think about supporting each other channel if interested write a comment back in one of my video duckybhai,NCA
ooooo bhaiiiii maaro maaroo mujhe,NCA
hahaha hahaha,NCA
yar description me game ka name nhi he koi bta sakta he konsi game he,NCA
yes police is thinking about torturing the criminals by using her songs,NCA
i want to donate my eyes and ears anyone,NCA
or ka ro inky bizty,NCA
kamal ky ha,NCA
bhai wah bro,NCA
pen yuk tunay apni vedio ka gaund may sota day dia hah,NCA
good ducky bhi,NCA
ducky bhi ali raza 11 py video bny plz,NCA
bahi app say ik baat kareny the,NCA
my ears are bleeding,NCA
yaar koi sense hoti he gane ka,NCA
iss k gany iss k gandy mun mai haggo,CA
o yaar mai jaa raha hun kya tatti hai yeh,NCA
o yaar is pagl ka gana sun kr bandy ko tatti ani band ho jati hai kya pagl panti hai yeh,NCA
